Date,Rank,Symbol,Name,MarketCap,Price
2024-01-09,20,BCH,Bitcoin Cash,"$4,807,985,896.49",$245.1895
2024-01-10,1,BTC,Bitcoin,"$913,669,280,076.60","$46,627.7791"
2024-01-10,2,ETH,Ethereum,"$310,327,971,097.27","$2,582.1035"
2024-01-10,3,USDT,Tether USDt,"$94,362,208,344.75",$1.0002
2024-01-10,4,BNB,BNB,"$46,280,254,081.68",$305.0968
2024-01-10,5,SOL,Solana,"$44,063,260,014.84",$102.0330
2024-01-10,6,XRP,XRP,"$32,525,669,709.76",$0.6000
2024-01-10,7,USDC,USDC,"$25,242,165,938.05",$0.9998
2024-01-10,8,ADA,Cardano,"$20,051,226,919.83",$0.5666
2024-01-10,9,AVAX,Avalanche,"$14,104,864,744.13",$38.4724
2024-01-10,10,DOGE,Dogecoin,"$11,827,559,241.59",$0.0829
2024-01-10,11,DOT,Polkadot,"$10,094,366,348.05",$7.9711
2024-01-10,12,TRX,TRON,"$9,293,045,322.63",$0.1053
2024-01-10,13,MATIC,Polygon,"$8,586,128,120.86",$0.8979
2024-01-10,14,LINK,Chainlink,"$8,539,576,090.77",$15.0318
2024-01-10,15,TON,Toncoin,"$7,819,561,562.67",$2.2623
2024-01-10,16,ICP,Internet Computer,"$6,328,386,574.58",$13.9056
2024-01-10,17,SHIB,Shiba Inu,"$5,875,956,818.63",$0.0000
2024-01-10,18,DAI,Dai,"$5,347,768,920.65",$1.0000
2024-01-10,19,LTC,Litecoin,"$5,177,363,779.47",$69.8901
2024-01-10,20,BCH,Bitcoin Cash,"$4,985,689,275.92",$254.2391
2024-01-11,1,BTC,Bitcoin,"$908,639,958,360.69","$46,368.5854"
2024-01-11,2,ETH,Ethereum,"$314,832,271,105.49","$2,619.6191"
2024-01-11,3,USDT,Tether USDt,"$94,642,451,842.68",$1.0002
2024-01-11,4,BNB,BNB,"$46,826,983,267.53",$308.7015
2024-01-11,5,SOL,Solana,"$43,180,158,130.68",$99.9094
2024-01-11,6,XRP,XRP,"$32,673,767,000.23",$0.6021
2024-01-11,7,USDC,USDC,"$25,249,499,861.85",$1.0002
2024-01-11,8,ADA,Cardano,"$20,600,793,178.50",$0.5822
2024-01-11,9,AVAX,Avalanche,"$14,462,076,107.61",$39.4458
2024-01-11,10,DOGE,Dogecoin,"$12,068,685,980.67",$0.0846
2024-01-11,11,DOT,Polkadot,"$10,349,653,529.58",$8.1702
2024-01-11,12,TRX,TRON,"$9,374,818,296.02",$0.1062
2024-01-11,13,MATIC,Polygon,"$8,867,804,013.01",$0.9273
2024-01-11,14,LINK,Chainlink,"$8,540,068,344.95",$15.0327
2024-01-11,15,TON,Toncoin,"$7,706,879,434.37",$2.2297
2024-01-11,16,SHIB,Shiba Inu,"$5,986,617,680.00",$0.0000
2024-01-11,17,ICP,Internet Computer,"$5,955,230,540.50",$13.0851
2024-01-11,18,BCH,Bitcoin Cash,"$5,423,103,114.93",$276.5281
2024-01-11,19,DAI,Dai,"$5,347,588,753.49",$0.9999
2024-01-11,20,LTC,Litecoin,"$5,332,788,376.75",$71.9845
2024-01-12,1,BTC,Bitcoin,"$839,796,421,013.37","$42,853.1667"
2024-01-12,2,ETH,Ethereum,"$303,393,130,318.02","$2,524.4601"
2024-01-12,3,USDT,Tether USDt,"$94,993,309,598.50",$0.9999
